#result,duration(ms),initial_time,final_time
0,2670,Thu Sep 02 07:45:20 BRT 2021,Thu Sep 02 07:45:23 BRT 2021
1,3201,Thu Sep 02 07:45:23 BRT 2021,Thu Sep 02 07:45:26 BRT 2021
0,2183,Thu Sep 02 07:45:26 BRT 2021,Thu Sep 02 07:45:28 BRT 2021
1,1290,Thu Sep 02 07:45:28 BRT 2021,Thu Sep 02 07:45:30 BRT 2021
0,853,Thu Sep 02 07:45:30 BRT 2021,Thu Sep 02 07:45:30 BRT 2021
0,890,Thu Sep 02 07:45:30 BRT 2021,Thu Sep 02 07:45:31 BRT 2021
0,663,Thu Sep 02 07:45:31 BRT 2021,Thu Sep 02 07:45:32 BRT 2021
0,838,Thu Sep 02 07:45:32 BRT 2021,Thu Sep 02 07:45:33 BRT 2021
0,681,Thu Sep 02 07:45:33 BRT 2021,Thu Sep 02 07:45:34 BRT 2021
0,527,Thu Sep 02 07:45:34 BRT 2021,Thu Sep 02 07:45:34 BRT 2021
0,709,Thu Sep 02 07:45:34 BRT 2021,Thu Sep 02 07:45:35 BRT 2021
0,571,Thu Sep 02 07:45:35 BRT 2021,Thu Sep 02 07:45:35 BRT 2021
0,940,Thu Sep 02 07:45:35 BRT 2021,Thu Sep 02 07:45:36 BRT 2021
0,648,Thu Sep 02 07:45:36 BRT 2021,Thu Sep 02 07:45:37 BRT 2021
0,555,Thu Sep 02 07:45:37 BRT 2021,Thu Sep 02 07:45:37 BRT 2021
0,691,Thu Sep 02 07:45:37 BRT 2021,Thu Sep 02 07:45:38 BRT 2021
1,1203,Thu Sep 02 07:45:38 BRT 2021,Thu Sep 02 07:45:39 BRT 2021
0,516,Thu Sep 02 07:45:39 BRT 2021,Thu Sep 02 07:45:40 BRT 2021
0,527,Thu Sep 02 07:45:40 BRT 2021,Thu Sep 02 07:45:40 BRT 2021
0,610,Thu Sep 02 07:45:40 BRT 2021,Thu Sep 02 07:45:41 BRT 2021
0,1351,Thu Sep 02 07:45:41 BRT 2021,Thu Sep 02 07:45:42 BRT 2021
0,1348,Thu Sep 02 07:45:42 BRT 2021,Thu Sep 02 07:45:44 BRT 2021
1,852,Thu Sep 02 07:45:44 BRT 2021,Thu Sep 02 07:45:45 BRT 2021
0,923,Thu Sep 02 07:45:45 BRT 2021,Thu Sep 02 07:45:46 BRT 2021
