#result,duration(ms),initial_time,final_time
0,2233,Thu Sep 02 03:55:02 BRT 2021,Thu Sep 02 03:55:04 BRT 2021
0,2289,Thu Sep 02 03:55:04 BRT 2021,Thu Sep 02 03:55:06 BRT 2021
0,888,Thu Sep 02 03:55:06 BRT 2021,Thu Sep 02 03:55:07 BRT 2021
0,852,Thu Sep 02 03:55:07 BRT 2021,Thu Sep 02 03:55:08 BRT 2021
0,909,Thu Sep 02 03:55:08 BRT 2021,Thu Sep 02 03:55:09 BRT 2021
0,1352,Thu Sep 02 03:55:09 BRT 2021,Thu Sep 02 03:55:10 BRT 2021
0,855,Thu Sep 02 03:55:10 BRT 2021,Thu Sep 02 03:55:11 BRT 2021
0,610,Thu Sep 02 03:55:11 BRT 2021,Thu Sep 02 03:55:12 BRT 2021
0,930,Thu Sep 02 03:55:12 BRT 2021,Thu Sep 02 03:55:13 BRT 2021
0,812,Thu Sep 02 03:55:13 BRT 2021,Thu Sep 02 03:55:14 BRT 2021
0,574,Thu Sep 02 03:55:14 BRT 2021,Thu Sep 02 03:55:14 BRT 2021
0,855,Thu Sep 02 03:55:14 BRT 2021,Thu Sep 02 03:55:15 BRT 2021
0,799,Thu Sep 02 03:55:15 BRT 2021,Thu Sep 02 03:55:16 BRT 2021
0,596,Thu Sep 02 03:55:16 BRT 2021,Thu Sep 02 03:55:17 BRT 2021
0,1607,Thu Sep 02 03:55:17 BRT 2021,Thu Sep 02 03:55:18 BRT 2021
0,653,Thu Sep 02 03:55:18 BRT 2021,Thu Sep 02 03:55:19 BRT 2021
0,947,Thu Sep 02 03:55:19 BRT 2021,Thu Sep 02 03:55:20 BRT 2021
0,608,Thu Sep 02 03:55:20 BRT 2021,Thu Sep 02 03:55:20 BRT 2021
0,542,Thu Sep 02 03:55:20 BRT 2021,Thu Sep 02 03:55:21 BRT 2021
0,1021,Thu Sep 02 03:55:21 BRT 2021,Thu Sep 02 03:55:22 BRT 2021
0,590,Thu Sep 02 03:55:22 BRT 2021,Thu Sep 02 03:55:22 BRT 2021
0,753,Thu Sep 02 03:55:22 BRT 2021,Thu Sep 02 03:55:23 BRT 2021
0,1522,Thu Sep 02 03:55:23 BRT 2021,Thu Sep 02 03:55:25 BRT 2021
0,585,Thu Sep 02 03:55:25 BRT 2021,Thu Sep 02 03:55:25 BRT 2021
0,784,Thu Sep 02 03:55:25 BRT 2021,Thu Sep 02 03:55:26 BRT 2021
0,501,Thu Sep 02 03:55:26 BRT 2021,Thu Sep 02 03:55:27 BRT 2021
0,454,Thu Sep 02 03:55:27 BRT 2021,Thu Sep 02 03:55:27 BRT 2021
0,494,Thu Sep 02 03:55:27 BRT 2021,Thu Sep 02 03:55:28 BRT 2021
0,1157,Thu Sep 02 03:55:28 BRT 2021,Thu Sep 02 03:55:29 BRT 2021
0,581,Thu Sep 02 03:55:29 BRT 2021,Thu Sep 02 03:55:29 BRT 2021
0,487,Thu Sep 02 03:55:29 BRT 2021,Thu Sep 02 03:55:30 BRT 2021
0,545,Thu Sep 02 03:55:30 BRT 2021,Thu Sep 02 03:55:30 BRT 2021
0,692,Thu Sep 02 03:55:30 BRT 2021,Thu Sep 02 03:55:31 BRT 2021
0,581,Thu Sep 02 03:55:31 BRT 2021,Thu Sep 02 03:55:32 BRT 2021
0,707,Thu Sep 02 03:55:32 BRT 2021,Thu Sep 02 03:55:32 BRT 2021
0,599,Thu Sep 02 03:55:32 BRT 2021,Thu Sep 02 03:55:33 BRT 2021
0,497,Thu Sep 02 03:55:33 BRT 2021,Thu Sep 02 03:55:33 BRT 2021
0,894,Thu Sep 02 03:55:33 BRT 2021,Thu Sep 02 03:55:34 BRT 2021
0,660,Thu Sep 02 03:55:34 BRT 2021,Thu Sep 02 03:55:35 BRT 2021
0,1031,Thu Sep 02 03:55:35 BRT 2021,Thu Sep 02 03:55:36 BRT 2021
0,817,Thu Sep 02 03:55:36 BRT 2021,Thu Sep 02 03:55:37 BRT 2021
0,493,Thu Sep 02 03:55:37 BRT 2021,Thu Sep 02 03:55:37 BRT 2021
0,630,Thu Sep 02 03:55:37 BRT 2021,Thu Sep 02 03:55:38 BRT 2021
0,545,Thu Sep 02 03:55:38 BRT 2021,Thu Sep 02 03:55:39 BRT 2021
0,495,Thu Sep 02 03:55:39 BRT 2021,Thu Sep 02 03:55:39 BRT 2021
0,1724,Thu Sep 02 03:55:39 BRT 2021,Thu Sep 02 03:55:41 BRT 2021
0,722,Thu Sep 02 03:55:41 BRT 2021,Thu Sep 02 03:55:41 BRT 2021
0,991,Thu Sep 02 03:55:41 BRT 2021,Thu Sep 02 03:55:42 BRT 2021
0,626,Thu Sep 02 03:55:42 BRT 2021,Thu Sep 02 03:55:43 BRT 2021
0,595,Thu Sep 02 03:55:43 BRT 2021,Thu Sep 02 03:55:44 BRT 2021
0,691,Thu Sep 02 03:55:44 BRT 2021,Thu Sep 02 03:55:44 BRT 2021
0,644,Thu Sep 02 03:55:44 BRT 2021,Thu Sep 02 03:55:45 BRT 2021
0,697,Thu Sep 02 03:55:45 BRT 2021,Thu Sep 02 03:55:46 BRT 2021
0,544,Thu Sep 02 03:55:46 BRT 2021,Thu Sep 02 03:55:46 BRT 2021
0,1217,Thu Sep 02 03:55:46 BRT 2021,Thu Sep 02 03:55:47 BRT 2021
0,675,Thu Sep 02 03:55:47 BRT 2021,Thu Sep 02 03:55:48 BRT 2021
0,494,Thu Sep 02 03:55:48 BRT 2021,Thu Sep 02 03:55:49 BRT 2021
0,919,Thu Sep 02 03:55:49 BRT 2021,Thu Sep 02 03:55:50 BRT 2021
0,651,Thu Sep 02 03:55:50 BRT 2021,Thu Sep 02 03:55:50 BRT 2021
0,1282,Thu Sep 02 03:55:50 BRT 2021,Thu Sep 02 03:55:51 BRT 2021
0,627,Thu Sep 02 03:55:51 BRT 2021,Thu Sep 02 03:55:52 BRT 2021
0,914,Thu Sep 02 03:55:52 BRT 2021,Thu Sep 02 03:55:53 BRT 2021
0,548,Thu Sep 02 03:55:53 BRT 2021,Thu Sep 02 03:55:54 BRT 2021
0,817,Thu Sep 02 03:55:54 BRT 2021,Thu Sep 02 03:55:54 BRT 2021
0,829,Thu Sep 02 03:55:54 BRT 2021,Thu Sep 02 03:55:55 BRT 2021
0,904,Thu Sep 02 03:55:55 BRT 2021,Thu Sep 02 03:55:56 BRT 2021
0,624,Thu Sep 02 03:55:56 BRT 2021,Thu Sep 02 03:55:57 BRT 2021
0,659,Thu Sep 02 03:55:57 BRT 2021,Thu Sep 02 03:55:57 BRT 2021
0,1016,Thu Sep 02 03:55:57 BRT 2021,Thu Sep 02 03:55:58 BRT 2021
0,488,Thu Sep 02 03:55:58 BRT 2021,Thu Sep 02 03:55:59 BRT 2021
0,907,Thu Sep 02 03:55:59 BRT 2021,Thu Sep 02 03:56:00 BRT 2021
0,930,Thu Sep 02 03:56:00 BRT 2021,Thu Sep 02 03:56:01 BRT 2021
0,813,Thu Sep 02 03:56:01 BRT 2021,Thu Sep 02 03:56:02 BRT 2021
0,584,Thu Sep 02 03:56:02 BRT 2021,Thu Sep 02 03:56:02 BRT 2021
0,908,Thu Sep 02 03:56:02 BRT 2021,Thu Sep 02 03:56:03 BRT 2021
0,585,Thu Sep 02 03:56:03 BRT 2021,Thu Sep 02 03:56:04 BRT 2021
0,815,Thu Sep 02 03:56:04 BRT 2021,Thu Sep 02 03:56:04 BRT 2021
0,565,Thu Sep 02 03:56:04 BRT 2021,Thu Sep 02 03:56:05 BRT 2021
0,1274,Thu Sep 02 03:56:05 BRT 2021,Thu Sep 02 03:56:06 BRT 2021
0,546,Thu Sep 02 03:56:06 BRT 2021,Thu Sep 02 03:56:07 BRT 2021
